tburn_s,thrust_N,empty_rocket_mass_kg,motor_dry_mass_without_tank_kg,apogee_altitude_AGL_m,rail_exit_velocity_mps
8.4,3000,25,15,6281.02654669734,29.1778985344349
8.4,3000,25,18.3333333333333,5963.02952218949,28.2179932764334
8.4,3000,25,21.6666666666667,5600.31445293949,27.2758013541516
8.4,3000,25,25,5191.55999800703,26.334895635004
8.4,3200,18,15,7345.06216540853,32.4484519585463
8.4,3200,18,18.3333333333333,6993.44614452002,31.2284406099386
8.4,3200,18,21.6666666666667,6668.75712527579,30.2081724948151
8.4,3200,18,25,6372.36760296685,29.0789616891475
8.4,3200,20.3333333333333,15,7095.34642716846,31.7064017848528
8.4,3200,20.3333333333333,18.3333333333333,6761.86532485276,30.4410590109144
8.4,3200,20.3333333333333,21.6666666666667,6457.21882105944,29.379233283551
8.4,3200,20.3333333333333,25,6153.85699126771,28.4107289030934
8.4,3200,22.6666666666667,15,6857.95623199789,30.7715570902802
8.4,3200,22.6666666666667,18.3333333333333,6544.58765252826,29.6978884557053
8.4,3200,22.6666666666667,21.6666666666667,6248.34307484969,28.6933172526768
8.4,3200,22.6666666666667,25,5915.5827040354,27.7719979467201
8.4,3200,25,15,6634.5031298009,30.0440925855145
8.4,3200,25,18.3333333333333,6339.19486829005,28.9796582676857
8.4,3200,25,21.6666666666667,6018.01947455724,28.0380578438191
8.4,3200,25,25,5659.52410789236,27.1607350418002
8.4,3400,18,15,7768.5815023865,33.3182965985589
8.4,3400,18,18.3333333333333,7392.36383551375,31.9977600900052
8.4,3400,18,21.6666666666667,7042.01700718539,30.8822402662261
8.4,3400,18,25,6718.86217958212,29.8611959207983
8.4,3400,20.3333333333333,15,7501.47900202137,32.3846692709863
8.4,3400,20.3333333333333,18.3333333333333,7142.9405941806,31.2063616738014
8.4,3400,20.3333333333333,21.6666666666667,6811.67173922759,30.1661965524646
8.4,3400,20.3333333333333,25,6508.87600416826,29.1791819546929
8.4,3400,22.6666666666667,15,7246.75004262574,31.540572956149
8.4,3400,22.6666666666667,18.3333333333333,6906.85897124302,30.46768928934
8.4,3400,22.6666666666667,21.6666666666667,6595.3344173502,29.4626617149969
8.4,3400,22.6666666666667,25,6297.19327200708,28.5443798653356
8.4,3400,25,15,7005.00958584534,30.786168638802
8.4,3400,25,18.3333333333333,6684.63263030583,29.7674349125616
8.4,3400,25,21.6666666666667,6389.0089894213,28.808422509902
8.4,3400,25,25,6066.78000944186,27.9414703326172
8.4,3600,18,15,8203.73965373759,33.9340029339737
8.4,3600,18,18.3333333333333,7803.84458940338,32.9026874047294
8.4,3600,18,21.6666666666667,7429.20950699163,31.7459928436252
8.4,3600,18,25,7081.517055978,30.5904800287731
8.4,3600,20.3333333333333,15,7920.03593392504,33.0955420494263
8.4,3600,20.3333333333333,18.3333333333333,7537.7784451045,32.0752547114335
8.4,3600,20.3333333333333,21.6666666666667,7181.80063804044,30.8828455601166
8.4,3600,20.3333333333333,25,6853.50178991758,29.9182356987151
8.4,3600,22.6666666666667,15,7648.64639667269,32.2670644737212
8.4,3600,22.6666666666667,18.3333333333333,7284.66309194498,31.1900490781934
8.4,3600,22.6666666666667,21.6666666666667,6947.55019918457,30.1941511418201
8.4,3600,22.6666666666667,25,6639.60202401896,29.2686921620855
8.4,3600,25,15,7390.26745795076,31.664811095623
8.4,3600,25,18.3333333333333,7044.62593999997,30.4914136064344
8.4,3600,25,21.6666666666667,6727.93051054022,29.537459699605
8.4,3600,25,25,6432.01736658566,28.6627516853515
8.4,3800,18,15,8650.07661020233,34.6227261146564
8.4,3800,18,18.3333333333333,8226.52732359519,33.5630579069803
8.4,3800,18,21.6666666666667,7828.95032263143,32.3560207113416
8.4,3800,18,25,7457.8284539707,31.2715924181802
8.4,3800,20.3333333333333,15,8349.62380044422,33.7705709068856
8.4,3800,20.3333333333333,18.3333333333333,7943.98932760252,32.6362854681882
8.4,3800,20.3333333333333,21.6666666666667,7565.38897367111,31.7222284648311
8.4,3800,20.3333333333333,25,7213.44449161932,30.7427358773204
8.4,3800,22.6666666666667,15,8061.86824024258,32.9645827445979
8.4,3800,22.6666666666667,18.3333333333333,7674.90918675213,31.9038759047277
8.4,3800,22.6666666666667,21.6666666666667,7314.68534906474,30.8833868328377
8.4,3800,22.6666666666667,25,6982.17093916223,29.9591261353182
8.4,3800,25,15,7787.24937358308,32.2239600777578
8.4,3800,25,18.3333333333333,7418.74361601827,31.173953690536
8.4,3800,25,21.6666666666667,7078.08819616617,30.3325616042248
8.4,3800,25,25,6765.02708346215,29.3491030190259
8.4,4000,18,15,9107.23796958032,35.2487069074611
8.4,4000,18,18.3333333333333,8659.81080828009,34.0535908740141
8.4,4000,18,21.6666666666667,8239.5176854599,32.9456586858997
8.4,4000,18,25,7846.16827141277,32.0788726157431
8.4,4000,20.3333333333333,15,8790.06429131969,34.3996162944918
8.4,4000,20.3333333333333,18.3333333333333,8361.48092898527,33.2689338485828
8.4,4000,20.3333333333333,21.6666666666667,7959.86970521993,32.3732458296673
8.4,4000,20.3333333333333,25,7585.7732619423,31.2532392851349
8.4,4000,22.6666666666667,15,8486.09063565805,33.7880482060791
8.4,4000,22.6666666666667,18.3333333333333,8076.50407478854,32.5728256056807
8.4,4000,22.6666666666667,21.6666666666667,7693.92597874182,31.5416873389153
8.4,4000,22.6666666666667,25,7339.10072182581,30.8026929633716
8.4,4000,25,15,8195.64349998797,32.8419683573294
8.4,4000,25,18.3333333333333,7804.8974788863,31.8292770251971
8.4,4000,25,21.6666666666667,7441.64602201871,30.8838727570944
8.4,4000,25,25,7105.56161784958,30.0579480305745
9.3,3000,18,15,7631.87345772856,31.0251908002906
9.3,3000,18,18.3333333333333,7259.50203295142,29.8508798735642
9.3,3000,18,21.6666666666667,6915.3375110438,28.7699307025232
9.3,3000,18,25,6601.63527186709,27.7847715280624
9.3,3000,20.3333333333333,15,7366.95727087256,30.1884451431067
9.3,3000,20.3333333333333,18.3333333333333,7013.98503974428,29.0799777840202
9.3,3000,20.3333333333333,21.6666666666667,6690.98535395547,28.0861862000506
9.3,3000,20.3333333333333,25,6380.2019648254,27.300820201658
9.3,3000,22.6666666666667,15,7115.65119328923,29.400374306287
9.3,3000,22.6666666666667,18.3333333333333,6782.99566397468,28.3670521645708
9.3,3000,22.6666666666667,21.6666666666667,6475.70550182916,27.4076819744381
9.3,3000,22.6666666666667,25,6137.24776117223,26.5169396592173
9.3,3000,25,15,6878.63963994239,28.6689344566323
9.3,3000,25,18.3333333333333,6567.29236954534,27.6899860551327
9.3,3000,25,21.6666666666667,6241.68890606143,26.9307884187699
9.3,3000,25,25,5877.80425050982,25.932796296891
9.3,3200,18,15,8109.5132571945,31.7971503194338
9.3,3200,18,18.3333333333333,7709.25842026159,30.6589131123792
9.3,3200,18,21.6666666666667,7336.29124655857,29.5569104990003
9.3,3200,18,25,6992.32226024349,28.5753884465072
9.3,3200,20.3333333333333,15,7824.87109178177,30.9684778458057
9.3,3200,20.3333333333333,18.3333333333333,7443.81747501093,29.9305317279442
9.3,3200,20.3333333333333,21.6666666666667,7090.81810019498,28.8564318147035
9.3,3200,20.3333333333333,25,6767.96292044806,27.934085268866
9.3,3200,22.6666666666667,15,7553.89989955114,30.1899999624684
9.3,3200,22.6666666666667,18.3333333333333,7192.31223746829,29.1536650658755
9.3,3200,22.6666666666667,21.6666666666667,6860.04402659938,28.266244999336
9.3,3200,22.6666666666667,25,6552.17905134645,27.3149057075914
9.3,3200,25,15,7296.59737529161,29.4546862410823
9.3,3200,25,18.3333333333333,6955.50423450449,28.4826348637669
9.3,3200,25,21.6666666666667,6644.05825075002,27.5747860056478
9.3,3200,25,25,6319.69500081089,26.845073195644
9.3,3400,18,15,8602.04108375604,32.6414098171649
9.3,3400,18,18.3333333333333,8174.17964810616,31.3748783880789
9.3,3400,18,21.6666666666667,7774.06453223041,30.3051471462247
9.3,3400,18,25,7402.77814742173,29.3133128082945
9.3,3400,20.3333333333333,15,8298.38521166005,31.7732340929921
9.3,3400,20.3333333333333,18.3333333333333,7890.07648339871,30.7678356551018
9.3,3400,20.3333333333333,21.6666666666667,7509.66993996723,29.6038440863274
9.3,3400,20.3333333333333,25,7158.68216542025,28.6701602203078
9.3,3400,22.6666666666667,15,8008.01155236231,30.9274177257711
9.3,3400,22.6666666666667,18.3333333333333,7619.29736349031,29.9040528343375
9.3,3400,22.6666666666667,21.6666666666667,7259.42734025429,28.9379670009952
9.3,3400,22.6666666666667,25,6928.97785408673,28.0514856004845
9.3,3400,25,15,7731.83817666742,30.2019575230932
9.3,3400,25,18.3333333333333,7363.20950860064,29.2189034171078
9.3,3400,25,21.6666666666667,7023.71921167031,28.3909544485221
9.3,3400,25,25,6713.68428028866,27.5832962724633
9.3,3600,18,15,9108.57072595091,33.2070302955423
9.3,3600,18,18.3333333333333,8653.27927251289,32.0541769797503
9.3,3600,18,21.6666666666667,8226.78004352447,31.0090929538489
9.3,3600,18,25,7829.60823075394,30.1676129665697
9.3,3600,20.3333333333333,15,8785.54922128337,32.5267940776216
9.3,3600,20.3333333333333,18.3333333333333,8350.04328602109,31.3038918208037
